Period,Favorite ,Underdog,Fav Odds,Fav Implied Odds,Dog Odds,Dog Implied Odds,Fav Win?,Dog Win?,Sum of Implied Odds,Fav Pop Ranking,Dog Pop Ranking
1,ATL,CHI,-122,0.5495495495,102,0.495049505,1,0,1.044599055,1,0.375
1,ATL,DAL,-250,0.7142857143,202,0.3311258278,1,0,1.045411542,1,0.6875
1,ATL,IND,-135,0.5744680851,114,0.4672897196,0,1,1.041757805,1,0
1,ATL,LAS,-185,0.649122807,156,0.390625,1,0,1.039747807,1,0.625
1,ATL,LAS,-208,0.6753246753,172,0.3676470588,1,0,1.042971734,1,0.625
1,ATL,MIN,-185,0.649122807,152,0.3968253968,0,1,1.045948204,1,0.53125
1,ATL,PHX,-135,0.5744680851,114,0.4672897196,0,1,1.041757805,1,0.46875
1,ATL,WAS,-286,0.7409326425,231,0.3021148036,0,1,1.043047446,1,0.78125
1,ATL,WAS,-152,0.6031746032,127,0.4405286344,1,0,1.043703238,1,0.78125
1,CHI,ATL,-116,0.537037037,-101,0.5024875622,1,0,1.039524599,0.375,1
1,CHI,ATL,-303,0.7518610422,242,0.2923976608,1,0,1.044258703,0.375,1
1,CHI,DAL,-204,0.6710526316,169,0.3717472119,1,0,1.042799843,0.375,0.6875
1,CHI,IND,-118,0.5412844037,100,0.5,0,1,1.041284404,0.375,0
1,CHI,IND,-130,0.5652173913,110,0.4761904762,1,0,1.041407867,0.375,0
1,CHI,LAS,-185,0.649122807,154,0.3937007874,1,0,1.042823594,0.375,0.625
1,CHI,WAS,-145,0.5918367347,121,0.4524886878,0,1,1.044325422,0.375,0.78125
1,CHI,WAS,-159,0.6138996139,134,0.4273504274,1,0,1.041250041,0.375,0.78125
1,CON,ATL,-500,0.8333333333,383,0.2070393375,0,1,1.040372671,0.6875,1
1,CON,ATL,-137,0.5780590717,116,0.462962963,1,0,1.041022035,0.6875,1
1,CON,ATL,-1111,0.9174236168,694,0.1259445844,1,0,1.043368201,0.6875,1
1,CON,CHI,-222,0.6894409938,181,0.3558718861,1,0,1.04531288,0.6875,0.375
1,CON,CHI,-333,0.7690531178,268,0.2717391304,1,0,1.040792248,0.6875,0.375
1,CON,DAL,-303,0.7518610422,240,0.2941176471,1,0,1.045978689,0.6875,0.6875
1,CON,DAL,-385,0.793814433,297,0.2518891688,1,0,1.045703602,0.6875,0.6875
1,CON,IND,-233,0.6996996997,187,0.3484320557,1,0,1.048131755,0.6875,0
1,CON,IND,-294,0.7461928934,239,0.2949852507,1,0,1.041178144,0.6875,0
1,CON,IND,-625,0.8620689655,455,0.1801801802,1,0,1.042249146,0.6875,0
1,CON,LAS,-1000,0.9090909091,677,0.1287001287,1,0,1.037791038,0.6875,0.625
1,CON,MIN,-256,0.7191011236,209,0.3236245955,1,0,1.042725719,0.6875,0.53125
1,CON,NYL,-137,0.5780590717,116,0.462962963,0,1,1.041022035,0.6875,0.1875
1,CON,PHX,-200,0.6666666667,168,0.3731343284,1,0,1.039800995,0.6875,0.46875
1,CON,PHX,-345,0.7752808989,271,0.269541779,1,0,1.044822678,0.6875,0.46875
1,CON,PHX,-345,0.7752808989,277,0.2652519894,1,0,1.040532888,0.6875,0.46875
1,CON,WAS,-417,0.8065764023,321,0.2375296912,1,0,1.044106094,0.6875,0.78125
1,CON,WAS,-625,0.8620689655,459,0.1788908766,1,0,1.040959842,0.6875,0.78125
1,CON,WAS,-1111,0.9174236168,714,0.1228501229,1,0,1.04027374,0.6875,0.78125
1,DAL,ATL,-189,0.6539792388,156,0.390625,1,0,1.044604239,0.6875,1
1,DAL,CHI,-213,0.6805111821,175,0.3636363636,0,1,1.044147546,0.6875,0.375
1,DAL,CHI,-357,0.7811816193,287,0.2583979328,1,0,1.039579552,0.6875,0.375
1,DAL,LAS,-167,0.6254681648,139,0.4184100418,0,1,1.043878207,0.6875,0.625
1,DAL,LAS,-172,0.6323529412,143,0.4115226337,0,1,1.043875575,0.6875,0.625
1,DAL,WAS,-149,0.5983935743,127,0.4405286344,0,1,1.038922209,0.6875,0.78125
1,IND,ATL,-149,0.5983935743,129,0.4366812227,1,0,1.035074797,0,1
1,IND,CHI,-137,0.5780590717,116,0.462962963,1,0,1.041022035,0,0.375
1,IND,DAL,-189,0.6539792388,160,0.3846153846,0,1,1.038594623,0,0.6875
1,IND,LAS,-227,0.6941896024,185,0.350877193,0,1,1.045066795,0,0.625
1,IND,LAS,-123,0.5515695067,104,0.4901960784,1,0,1.041765585,0,0.625
1,IND,PHX,-127,0.5594713656,106,0.4854368932,1,0,1.044908259,0,0.46875
1,IND,WAS,-303,0.7518610422,242,0.2923976608,0,1,1.044258703,0,0.78125
1,IND,WAS,-172,0.6323529412,143,0.4115226337,1,0,1.043875575,0,0.78125
1,IND,WAS,-208,0.6753246753,172,0.3676470588,1,0,1.042971734,0,0.78125
1,LAS,DAL,-128,0.5614035088,108,0.4807692308,0,1,1.04217274,0.625,0.6875
1,LAS,WAS,-135,0.5744680851,114,0.4672897196,1,0,1.041757805,0.625,0.78125
1,LVA,ATL,-385,0.793814433,304,0.2475247525,0,1,1.041339185,0.15625,1
1,LVA,ATL,-1429,0.9345977763,846,0.1057082452,1,0,1.040306022,0.15625,1
1,LVA,CHI,-1111,0.9174236168,732,0.1201923077,0,1,1.037615925,0.15625,0.375
1,LVA,CHI,-588,0.8546511628,436,0.1865671642,1,0,1.041218327,0.15625,0.375
1,LVA,CON,-213,0.6805111821,177,0.3610108303,1,0,1.041522012,0.15625,0.6875
1,LVA,DAL,-417,0.8065764023,328,0.2336448598,1,0,1.040221262,0.15625,0.6875
1,LVA,DAL,-1429,0.9345977763,885,0.1015228426,1,0,1.036120619,0.15625,0.6875
1,LVA,IND,-1111,0.9174236168,723,0.1215066829,1,0,1.0389303,0.15625,0
1,LVA,IND,-1429,0.9345977763,881,0.1019367992,1,0,1.036534576,0.15625,0
1,LVA,LAS,-588,0.8546511628,429,0.1890359168,0,1,1.04368708,0.15625,0.625
1,LVA,LAS,-1000,0.9090909091,690,0.1265822785,0,1,1.035673188,0.15625,0.625
1,LVA,LAS,-2000,0.9523809524,1103,0.08312551953,1,0,1.035506472,0.15625,0.625
1,LVA,MIN,-303,0.7518610422,237,0.296735905,0,1,1.048596947,0.15625,0.53125
1,LVA,NYL,-139,0.5815899582,118,0.4587155963,0,1,1.040305554,0.15625,0.1875
1,LVA,PHX,-1250,0.9259259259,730,0.1204819277,0,1,1.046407854,0.15625,0.46875
1,LVA,PHX,-238,0.7041420118,198,0.3355704698,1,0,1.039712482,0.15625,0.46875
1,LVA,PHX,-1667,0.9434069044,950,0.09523809524,1,0,1.038645,0.15625,0.46875
1,LVA,SEA,-345,0.7752808989,275,0.2666666667,0,1,1.041947566,0.15625,0.53125
1,LVA,SEA,-185,0.649122807,156,0.390625,1,0,1.039747807,0.15625,0.53125
1,LVA,SEA,-286,0.7409326425,225,0.3076923077,1,0,1.04862495,0.15625,0.53125
1,LVA,WAS,-909,0.9008919722,632,0.1366120219,1,0,1.037503994,0.15625,0.78125
1,LVA,WAS,-1000,0.9090909091,662,0.1312335958,1,0,1.040324505,0.15625,0.78125
1,LVA,WAS,-2000,0.9523809524,1048,0.08710801394,1,0,1.039488966,0.15625,0.78125
1,LVA ,MIN,-189,0.6539792388,156,0.390625,1,0,1.044604239,0.15625,0.53125
1,MIN,ATL,-345,0.7752808989,269,0.27100271,1,0,1.046283609,0.53125,1
1,MIN,ATL,-455,0.8198198198,348,0.2232142857,1,0,1.043034106,0.53125,1
1,MIN,CHI,-303,0.7518610422,236,0.2976190476,1,0,1.04948009,0.53125,0.375
1,MIN,CON,-159,0.6138996139,134,0.4273504274,0,1,1.041250041,0.53125,0.6875
1,MIN,DAL,-500,0.8333333333,379,0.2087682672,0,1,1.042101601,0.53125,0.6875
1,MIN,DAL,-278,0.7354497354,220,0.3125,1,0,1.047949735,0.53125,0.6875
1,MIN,DAL,-1429,0.9345977763,806,0.1103752759,1,0,1.044973052,0.53125,0.6875
1,MIN,IND,-204,0.6710526316,170,0.3703703704,0,1,1.041423002,0.53125,0
1,MIN,LAS,-217,0.6845425868,181,0.3558718861,1,0,1.040414473,0.53125,0.625
1,MIN,LAS,-323,0.7635933806,259,0.278551532,1,0,1.042144913,0.53125,0.625
1,MIN,LAS,-909,0.9008919722,633,0.136425648,1,0,1.03731762,0.53125,0.625
1,MIN,PHX,-222,0.6894409938,179,0.3584229391,0,1,1.047863933,0.53125,0.46875
1,MIN,PHX,-227,0.6941896024,183,0.3533568905,1,0,1.047546493,0.53125,0.46875
1,MIN,PHX,-312,0.7572815534,250,0.2857142857,1,0,1.042995839,0.53125,0.46875
1,MIN,SEA,-112,0.5283018868,-108,0.5192307692,1,0,1.047532656,0.53125,0.53125
1,MIN,WAS,-455,0.8198198198,350,0.2222222222,1,0,1.042042042,0.53125,0.78125
1,NYL,ATL,-270,0.7297297297,219,0.3134796238,1,0,1.043209354,0.1875,1
1,NYL,ATL,-455,0.8198198198,348,0.2232142857,1,0,1.043034106,0.1875,1
1,NYL,ATL,-1429,0.9345977763,918,0.09823182711,1,0,1.032829603,0.1875,1
1,NYL,CHI,-1667,0.9434069044,935,0.09661835749,0,1,1.040025262,0.1875,0.375
1,NYL,CHI,-185,0.649122807,158,0.3875968992,1,0,1.036719706,0.1875,0.375
1,NYL,CHI,-370,0.7872340426,294,0.2538071066,1,0,1.041041149,0.1875,0.375
1,NYL,CHI,-526,0.8402555911,395,0.202020202,1,0,1.042275793,0.1875,0.375
1,NYL,CON,-133,0.5708154506,112,0.4716981132,1,0,1.042513564,0.1875,0.6875
1,NYL,CON,-133,0.5708154506,112,0.4716981132,1,0,1.042513564,0.1875,0.6875
1,NYL,IND,-588,0.8546511628,426,0.1901140684,0,1,1.044765231,0.1875,0
1,NYL,IND,-345,0.7752808989,277,0.2652519894,1,0,1.040532888,0.1875,0
